pathway_id,r,tissue
hsa00600,0.6224259115053776,UBcalibr2
hsa05231,-0.4639601806477705,UBcalibr2
hsa04148,0.5841459983638295,UBcalibr2
hsa04071,0.6224259115053776,UBcalibr2
hsa00564,0.2943973508226646,UBcalibr2
hsa00561,-0.17052191086195767,UBcalibr2
hsa04723,-0.29288406248831045,UBcalibr2
hsa04217,0.6224259115053776,UBcalibr2
hsa01040,0.23939453095681684,UBcalibr1
hsa00600,0.49462286627796354,UBcalibr1
hsa00590,-0.5892375855793068,UBcalibr1
hsa05231,-0.484148741073795,UBcalibr1
hsa04070,-0.8385199704451617,UBcalibr1
hsa00564,-0.5612779104596505,UBcalibr1
hsa00561,-0.818283068823564,UBcalibr1
hsa04723,-0.2585711326254915,UBcalibr1
hsa00520,-0.17282086690319007,UBcalibr1
hsa04216,-0.731012759314499,UBcalibr1
hsa00591,-0.5892375855793068,UBcalibr1
hsa00061,-0.6103796173953232,UBcalibr1
hsa01040,0.32375874939070004,UBcalibr4
hsa00600,-0.20807391816500517,UBcalibr4
hsa00590,-0.6856482224215745,UBcalibr4
hsa05231,-0.616274505211134,UBcalibr4
hsa04070,-0.8382300866100743,UBcalibr4
hsa00564,-0.5939550684016712,UBcalibr4
hsa00040,-0.48981236839486514,UBcalibr4
hsa00561,-0.7279873696649793,UBcalibr4
hsa02010,-0.2737898901554967,UBcalibr4
hsa04723,-0.5828000569701447,UBcalibr4
hsa04216,0.5189348888475063,UBcalibr4
hsa00591,-0.6856482224215745,UBcalibr4
hsa04976,-0.47765115016493725,UBcalibr4
hsa05231,0.6924777177168866,Kidney-xenogr-1
hsa00564,0.48543369908777967,Kidney-xenogr-1
hsa04723,0.5254404285430575,Kidney-xenogr-1
hsa05231,0.5540165357134197,Kidney-xenogr-2
hsa00564,-0.2814302067699831,Kidney-xenogr-2
hsa04148,0.8500361061238078,Kidney-xenogr-2
hsa04723,-0.04521498073420839,Kidney-xenogr-2
hsa04024,0.8547824913713077,Eye-mouse
hsa00600,0.8595386492829804,Eye-mouse
hsa05231,-0.1195003361807579,Eye-mouse
hsa04072,0.8547824913713077,Eye-mouse
hsa04071,0.7806373896279719,Eye-mouse
hsa04148,0.6948803866928133,Eye-mouse
hsa00564,0.5342243383163041,Eye-mouse
hsa00561,0.7364975036630805,Eye-mouse
hsa04723,0.16716340454581707,Eye-mouse
hsa00520,0.7575731769230126,Eye-mouse
hsa04024,0.8547824918096568,Bladder-cancer-hum
hsa00600,0.8595386470198879,Bladder-cancer-hum
hsa05231,-0.11950032493332345,Bladder-cancer-hum
hsa04072,0.8547824918096568,Bladder-cancer-hum
hsa04071,0.7806373882466277,Bladder-cancer-hum
hsa04148,0.6948803848520984,Bladder-cancer-hum
hsa00564,0.5342243331351021,Bladder-cancer-hum
hsa00561,0.7364974994609992,Bladder-cancer-hum
hsa04723,0.16716340711004826,Bladder-cancer-hum
hsa00520,0.7575731748232497,Bladder-cancer-hum
hsa04024,0.8547824919585163,Heart-aorta-mouse
hsa00600,0.8595386470831916,Heart-aorta-mouse
hsa05231,-0.11950032392137197,Heart-aorta-mouse
hsa04072,0.8547824919585163,Heart-aorta-mouse
hsa04071,0.7806373898857915,Heart-aorta-mouse
hsa04148,0.6948803847738161,Heart-aorta-mouse
hsa00564,0.5342243330725511,Heart-aorta-mouse
hsa00561,0.7364975035483137,Heart-aorta-mouse
hsa04723,0.1671634089903661,Heart-aorta-mouse
hsa00520,0.7575731747179575,Heart-aorta-mouse
hsa04024,0.8547824918055013,Heart-sgt-mouse
hsa00600,0.859538646321327,Heart-sgt-mouse
hsa05231,-0.11950032486726467,Heart-sgt-mouse
hsa04072,0.8547824918055013,Heart-sgt-mouse
hsa04071,0.7806373882217913,Heart-sgt-mouse
hsa04148,0.6948803849475078,Heart-sgt-mouse
hsa00564,0.5342243333537107,Heart-sgt-mouse
hsa00561,0.736497503607123,Heart-sgt-mouse
hsa04723,0.16716340796267376,Heart-sgt-mouse
hsa00520,0.7575731731361781,Heart-sgt-mouse
