pathway_id,I,type,tissue
hsa04723,0.35737044096062465,kpca,UBcalibr2
hsa00561,0.2019349301003456,kpca,UBcalibr2
hsa04071,0.13028608728640387,kpca,UBcalibr2
hsa00600,0.13028608728640387,kpca,UBcalibr2
hsa04217,0.13028608728640387,kpca,UBcalibr2
hsa04148,0.11113929544415951,kpca,UBcalibr2
hsa00564,0.05740229141862056,kpca,UBcalibr2
hsa05231,0.04959118914624197,kpca,UBcalibr2
hsa04723,0.27966361101967746,gsva,UBcalibr2
hsa00564,0.19151484350304518,gsva,UBcalibr2
hsa05231,0.1594966023625294,gsva,UBcalibr2
hsa00600,0.11069423128460915,gsva,UBcalibr2
hsa04217,0.11069423128460915,gsva,UBcalibr2
hsa04071,0.11069423128460915,gsva,UBcalibr2
hsa04148,0.06972818279452977,gsva,UBcalibr2
hsa00561,0.06300638250476462,gsva,UBcalibr2
hsa04723,0.7686432562221941,kpca,UBcalibr1
hsa00590,0.755332973582823,kpca,UBcalibr1
hsa00591,0.755332973582823,kpca,UBcalibr1
hsa00061,0.7529861181293774,kpca,UBcalibr1
hsa04216,0.6709271996771456,kpca,UBcalibr1
hsa00520,0.5445760822391411,kpca,UBcalibr1
hsa00564,0.5141362227371037,kpca,UBcalibr1
hsa04070,0.48961592133653725,kpca,UBcalibr1
hsa00561,0.48869537435214633,kpca,UBcalibr1
hsa00600,0.4474032133556252,kpca,UBcalibr1
hsa01040,0.05082793395320559,kpca,UBcalibr1
hsa05231,-0.0009385253928383573,kpca,UBcalibr1
hsa00600,0.5850275857404892,gsva,UBcalibr1
hsa04216,0.5198883568557348,gsva,UBcalibr1
hsa05231,0.5027689327728606,gsva,UBcalibr1
hsa00520,0.39517236614668855,gsva,UBcalibr1
hsa01040,0.3679321234369789,gsva,UBcalibr1
hsa00590,0.3628420842414956,gsva,UBcalibr1
hsa00591,0.3628420842414956,gsva,UBcalibr1
hsa00561,0.3471984057255599,gsva,UBcalibr1
hsa04070,0.3291659149518281,gsva,UBcalibr1
hsa00061,0.3256019665073826,gsva,UBcalibr1
hsa00564,0.28373860077690294,gsva,UBcalibr1
hsa04723,0.27241714410700246,gsva,UBcalibr1
hsa05231,0.5691927284396306,kpca,UBcalibr4
hsa00564,0.42400005785391165,kpca,UBcalibr4
hsa01040,0.4039976133864341,kpca,UBcalibr4
hsa04216,0.37716483908559273,kpca,UBcalibr4
hsa04723,0.33530022310162727,kpca,UBcalibr4
hsa00590,0.32753335118608856,kpca,UBcalibr4
hsa00591,0.32753335118608856,kpca,UBcalibr4
hsa04976,0.20285199493606232,kpca,UBcalibr4
hsa02010,0.2006047907128968,kpca,UBcalibr4
hsa04070,0.13982941934022378,kpca,UBcalibr4
hsa00561,0.13259066487619942,kpca,UBcalibr4
hsa00040,0.11979713667834255,kpca,UBcalibr4
hsa00600,0.11100609257487508,kpca,UBcalibr4
hsa00600,0.6413110074756169,gsva,UBcalibr4
hsa01040,0.4593206613073042,gsva,UBcalibr4
hsa00591,0.45761394074875583,gsva,UBcalibr4
hsa00590,0.45761394074875583,gsva,UBcalibr4
hsa04723,0.4159127282653051,gsva,UBcalibr4
hsa02010,0.35640420976230186,gsva,UBcalibr4
hsa04216,0.3292684795629381,gsva,UBcalibr4
hsa04976,0.2931871652254758,gsva,UBcalibr4
hsa00561,0.23454318808031216,gsva,UBcalibr4
hsa05231,0.22201813822920743,gsva,UBcalibr4
hsa00040,0.19376894466192496,gsva,UBcalibr4
hsa00564,0.19351233821895816,gsva,UBcalibr4
hsa04070,0.18824554826422635,gsva,UBcalibr4
hsa04723,0.3456454234223101,kpca,Kidney-xenogr-1
hsa05231,0.2866156376780094,kpca,Kidney-xenogr-1
hsa00564,0.2713699401782408,kpca,Kidney-xenogr-1
hsa05231,0.3801280455947664,gsva,Kidney-xenogr-1
hsa04723,0.3497129948311575,gsva,Kidney-xenogr-1
hsa00564,0.3225296085011178,gsva,Kidney-xenogr-1
hsa04148,0.6938208118366447,kpca,Kidney-xenogr-2
hsa00564,0.5621802265185443,kpca,Kidney-xenogr-2
hsa04723,0.188417626124342,kpca,Kidney-xenogr-2
hsa05231,0.1291423787367578,kpca,Kidney-xenogr-2
hsa04148,0.6335169492049038,gsva,Kidney-xenogr-2
hsa05231,0.4541942950844194,gsva,Kidney-xenogr-2
hsa04723,0.3037768917086783,gsva,Kidney-xenogr-2
hsa00564,0.16805284703873635,gsva,Kidney-xenogr-2
hsa00600,0.4041645756102556,kpca,Eye-mouse
hsa04072,0.31912155575336815,kpca,Eye-mouse
hsa04024,0.31912155575336815,kpca,Eye-mouse
hsa04723,0.30498844288673244,kpca,Eye-mouse
hsa04071,0.2969989207657278,kpca,Eye-mouse
hsa05231,0.2541298789950103,kpca,Eye-mouse
hsa04148,0.19031712072617485,kpca,Eye-mouse
hsa00561,0.18266422362398638,kpca,Eye-mouse
hsa00520,0.15992616848840477,kpca,Eye-mouse
hsa00564,0.14278640390981095,kpca,Eye-mouse
hsa00600,0.47461453369661033,gsva,Eye-mouse
hsa05231,0.3946370350492095,gsva,Eye-mouse
hsa04024,0.3143138839851533,gsva,Eye-mouse
hsa04072,0.3143138839851533,gsva,Eye-mouse
hsa04071,0.3137036449112078,gsva,Eye-mouse
hsa04723,0.3061706056500711,gsva,Eye-mouse
hsa00520,0.2539886750894347,gsva,Eye-mouse
hsa00564,0.17732908796995675,gsva,Eye-mouse
hsa00561,0.1606657839040292,gsva,Eye-mouse
hsa04148,0.14168393075572544,gsva,Eye-mouse
hsa00600,0.41823623079190714,kpca,Bladder-cancer-hum
hsa04072,0.3157350837964375,kpca,Bladder-cancer-hum
hsa04024,0.3157350837964375,kpca,Bladder-cancer-hum
hsa05231,0.284495259969906,kpca,Bladder-cancer-hum
hsa04071,0.2765339429738197,kpca,Bladder-cancer-hum
hsa04723,0.26652812238603135,kpca,Bladder-cancer-hum
hsa04148,0.20922263553537415,kpca,Bladder-cancer-hum
hsa00561,0.1689236987422483,kpca,Bladder-cancer-hum
hsa00564,0.16279115032360367,kpca,Bladder-cancer-hum
hsa00520,0.10421030858542388,kpca,Bladder-cancer-hum
hsa00600,0.4795432807950981,gsva,Bladder-cancer-hum
hsa05231,0.3186333205666737,gsva,Bladder-cancer-hum
hsa04071,0.2686368924601446,gsva,Bladder-cancer-hum
hsa04072,0.2467461391180197,gsva,Bladder-cancer-hum
hsa04024,0.2467461391180197,gsva,Bladder-cancer-hum
hsa00520,0.22417563308956512,gsva,Bladder-cancer-hum
hsa00564,0.21238072851049425,gsva,Bladder-cancer-hum
hsa00561,0.18280089994785512,gsva,Bladder-cancer-hum
hsa04723,0.14963635700320424,gsva,Bladder-cancer-hum
hsa04148,0.14825215018106488,gsva,Bladder-cancer-hum
hsa00600,0.41823623603191434,kpca,Heart-aorta-mouse
hsa04072,0.3157350799690469,kpca,Heart-aorta-mouse
hsa04024,0.3157350799690469,kpca,Heart-aorta-mouse
hsa05231,0.2844952548999558,kpca,Heart-aorta-mouse
hsa04071,0.27653394895825284,kpca,Heart-aorta-mouse
hsa04723,0.26652813247951257,kpca,Heart-aorta-mouse
hsa04148,0.20922262682959308,kpca,Heart-aorta-mouse
hsa00561,0.16892369971382087,kpca,Heart-aorta-mouse
hsa00564,0.162791150870488,kpca,Heart-aorta-mouse
hsa00520,0.10421030522539683,kpca,Heart-aorta-mouse
hsa00600,0.4795432807950983,gsva,Heart-aorta-mouse
hsa05231,0.31863332056667376,gsva,Heart-aorta-mouse
hsa04071,0.2686368924601446,gsva,Heart-aorta-mouse
hsa04072,0.2467461391180197,gsva,Heart-aorta-mouse
hsa04024,0.2467461391180197,gsva,Heart-aorta-mouse
hsa00520,0.2241756330895652,gsva,Heart-aorta-mouse
hsa00564,0.2123807285104941,gsva,Heart-aorta-mouse
hsa00561,0.182800899947855,gsva,Heart-aorta-mouse
hsa04723,0.1496363570032043,gsva,Heart-aorta-mouse
hsa04148,0.1482521501810649,gsva,Heart-aorta-mouse
hsa00600,0.41823623205727906,kpca,Heart-sgt-mouse
hsa04072,0.315735082777254,kpca,Heart-sgt-mouse
hsa04024,0.315735082777254,kpca,Heart-sgt-mouse
hsa05231,0.28449526057803437,kpca,Heart-sgt-mouse
hsa04071,0.2765339430086661,kpca,Heart-sgt-mouse
hsa04723,0.2665281287007754,kpca,Heart-sgt-mouse
hsa04148,0.20922263510920983,kpca,Heart-sgt-mouse
hsa00561,0.16892369824783843,kpca,Heart-sgt-mouse
hsa00564,0.1627911498022587,kpca,Heart-sgt-mouse
hsa00520,0.10421030926669257,kpca,Heart-sgt-mouse
hsa00600,0.4795432807950982,gsva,Heart-sgt-mouse
hsa05231,0.31863332056667376,gsva,Heart-sgt-mouse
hsa04071,0.2686368924601446,gsva,Heart-sgt-mouse
hsa04072,0.2467461391180197,gsva,Heart-sgt-mouse
hsa04024,0.2467461391180197,gsva,Heart-sgt-mouse
hsa00520,0.22417563308956512,gsva,Heart-sgt-mouse
hsa00564,0.21238072851049408,gsva,Heart-sgt-mouse
hsa00561,0.18280089994785506,gsva,Heart-sgt-mouse
hsa04723,0.1496363570032043,gsva,Heart-sgt-mouse
hsa04148,0.14825215018106488,gsva,Heart-sgt-mouse
hsa00600,0.41823623130122345,kpca,MALDI_248_T
hsa04072,0.3157350831163216,kpca,MALDI_248_T
hsa04024,0.3157350831163216,kpca,MALDI_248_T
hsa05231,0.2844952603904565,kpca,MALDI_248_T
hsa04071,0.27653394243677715,kpca,MALDI_248_T
hsa04723,0.2665281283116218,kpca,MALDI_248_T
hsa04148,0.20922263575803302,kpca,MALDI_248_T
hsa00561,0.16892369771644086,kpca,MALDI_248_T
